timestamp,volume,negative_rate,stance_against_rate,stance_favor_rate,stance_neutral_rate,delta_volume,delta_negative_rate,delta_against_rate,delta_volume_rate,sentiment_avg_score,stance_against_mean,stance_favor_mean,stance_neutral_mean,is_controversy,topic
2022-12-01 00:00:00+09:00,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1485902294516564,0.4143502,0.22590855,0.35974127,0,三苫
2022-12-01 02:00:00+09:00,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2101839641109109,0.3840487,0.28875401,0.32719732,0,三苫
2022-12-01 05:00:00+09:00,1,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,-0.5,0.9812727801036092,0.25344583,0.2689106,0.47764355,0,三苫
2022-12-01 06:00:00+09:00,3,0.0,0.3333333333333333,0.0,0.6666666666666666,2.0,0.0,0.3333333333333333,2.0,0.6597350404287379,0.3415082399999999,0.18895486,0.4695368766666667,0,三苫
2022-12-01 08:00:00+09:00,2,0.0,0.3333333333333333,0.0,0.6666666666666666,-1.0,0.0,0.0,-0.3333333333333333,0.4323576449727019,0.29984753,0.2611685266666666,0.4389839499999999,0,三苫
2022-12-01 09:00:00+09:00,1,0.0,1.0,0.0,0.0,-1.0,0.0,0.6666666666666667,-0.5,-0.0959854796528816,0.4031674,0.2797407,0.3170919,0,三苫
2022-12-01 10:00:00+09:00,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0438340529799462,0.36302665,0.3266399,0.31033343,0,三苫
2022-12-01 11:00:00+09:00,3,0.3333333333333333,0.0,0.0,1.0,2.0,0.3333333333333333,-1.0,2.0,0.2491447784317036,0.2696772933333333,0.21368727,0.5166354200000001,0,三苫
2022-12-01 12:00:00+09:00,5,0.2,0.6,0.0,0.4,2.0,-0.1333333333333333,0.6,0.6666666666666666,0.2020072827348485,0.366112292,0.26313988,0.370747818,0,三苫
2022-12-01 13:00:00+09:00,5,0.2,0.0,0.0,1.0,0.0,0.0,-0.6,0.0,0.35840853783302,0.2918227379999999,0.187807776,0.520369494,0,三苫
2022-12-01 14:00:00+09:00,1,0.0,0.0,0.0,1.0,-4.0,-0.2,0.0,-0.8,0.3412812016904355,0.2529882,0.22187883,0.52513295,0,三苫
2022-12-01 15:00:00+09:00,3,0.0,0.3333333333333333,0.0,0.6666666666666666,2.0,0.0,0.3333333333333333,2.0,0.7335036946072554,0.2894957266666667,0.25137784,0.4591264433333333,0,三苫
2022-12-01 16:00:00+09:00,4,0.25,0.25,0.0,0.75,1.0,0.25,-0.0833333333333333,0.3333333333333333,0.32235422055237,0.292241555,0.2438146975,0.46394377,0,三苫
2022-12-01 17:00:00+09:00,8,0.25,0.25,0.0,0.75,4.0,0.0,0.0,1.0,-0.0355088066717144,0.32381566125,0.23096730375,0.44521703375,0,三苫
2022-12-01 18:00:00+09:00,8,0.125,0.5,0.0,0.5,0.0,-0.125,0.25,0.0,0.1565078578714747,0.36907381875,0.2381744599999999,0.3927517125,0,三苫
2022-12-01 19:00:00+09:00,5,0.0,0.4,0.0,0.6,-3.0,-0.125,-0.0999999999999999,-0.375,0.3059315126389265,0.3427168459999999,0.218534612,0.438748526,0,三苫
2022-12-01 20:00:00+09:00,6,0.0,0.1428571428571428,0.0,0.8571428571428571,1.0,0.0,-0.2571428571428572,0.2,0.4051782248009529,0.2910607185714285,0.2601824214285714,0.4487568757142857,0,三苫
2022-12-01 21:00:00+09:00,11,0.0909090909090909,0.3636363636363636,0.0,0.6363636363636364,5.0,0.0909090909090909,0.2207792207792208,0.8333333333333334,0.3358450537886133,0.3306076209090909,0.2684838618181818,0.4009085145454545,0,三苫
2022-12-01 22:00:00+09:00,8,0.125,0.25,0.0,0.75,-3.0,0.0340909090909091,-0.1136363636363636,-0.2727272727272727,0.5043398424750194,0.3164643275,0.2756974175,0.40783827,0,三苫
