model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,train_time
LightGBM,0.9569373072970195,0.009165771635487001,0.901478494623656,0.022435851695950745,0.9562826965134208,0.023992565309958684,0.2388625144958496
XGBoost,0.9540801644398768,0.00579331583673213,0.8935857047393407,0.01595803026962877,0.9622011096164134,0.023624427133821943,1.6012670993804932
Random Forest,0.9540698869475847,0.012576241065742871,0.8916667570835324,0.03250869082631777,0.9651854900248592,0.018417317758303173,1.2822635173797607
Logistic Regression,0.951212744090442,0.005432663371458477,0.8847489381971181,0.015741949979220883,0.9654689417539885,0.017100203110639048,0.05260968208312988
SVM (RBF),0.9497944501541624,0.010117667877839385,0.8783188991020667,0.02731367093134211,0.9517892122156141,0.02603433519753485,0.1560068130493164
