timestamp,volume,negative_rate,stance_against_rate,stance_favor_rate,stance_neutral_rate,delta_volume,delta_negative_rate,delta_against_rate,delta_volume_rate,sentiment_avg_score,stance_against_mean,stance_favor_mean,stance_neutral_mean,avg_engagement,total_engagement,max_engagement,engagement_rate,delta_engagement,delta_engagement_rate,avg_like_count,avg_retweet_count,avg_reply_count,is_controversy
2025-07-13 00:00:00+09:00,57,0.1403508771929824,0.1525423728813559,0.1186440677966101,0.7288135593220338,0.0,0.0,0.0,0.0,0.4122393183347027,0.2797812296610169,0.2942314861016948,0.4259872776271186,18.5,999.0,175.0,17.526315789473685,0.0,0.0,17.14814814814815,0.9814814814814816,0.3703703703703703,0
2025-07-13 01:00:00+09:00,48,0.1041666666666666,0.1875,0.125,0.6875,-9.0,-0.0361842105263157,0.034957627118644,-0.1578947368421052,0.4696242284335313,0.2909201214583333,0.2933922252083333,0.4156876539583333,23.113636363636363,1017.0,461.0,21.1875,18.0,0.018018018018018,22.045454545454547,0.4772727272727273,0.5909090909090909,0
2025-07-13 02:00:00+09:00,61,0.1639344262295081,0.0655737704918032,0.2459016393442623,0.6885245901639344,13.0,0.0597677595628415,-0.1219262295081967,0.2708333333333333,0.3887582314792319,0.296348517704918,0.2998502240983606,0.40380126,5.461538461538463,284.0,175.0,4.655737704918033,-733.0,-0.7207472959685349,5.153846153846154,0.1538461538461538,0.1538461538461538,0
2025-07-13 03:00:00+09:00,24,0.0416666666666666,0.0833333333333333,0.25,0.6666666666666666,-37.0,-0.1222677595628415,0.01775956284153,-0.6065573770491803,0.5329757795067659,0.2853709683333333,0.30822337875,0.4064056520833333,3.421052631578948,65.0,25.0,2.708333333333333,-219.0,-0.7711267605633803,3.0526315789473686,0.1052631578947368,0.2631578947368421,0
2025-07-13 04:00:00+09:00,32,0.125,0.15625,0.15625,0.6875,8.0,0.0833333333333334,0.0729166666666666,0.3333333333333333,0.4849874925494078,0.2867194196875,0.3039011175,0.409379463125,8.608695652173912,198.0,75.0,6.1875,133.0,2.046153846153846,8.130434782608695,0.2608695652173913,0.217391304347826,0
2025-07-13 05:00:00+09:00,34,0.2058823529411764,0.1142857142857142,0.1428571428571428,0.7428571428571429,2.0,0.0808823529411764,-0.0419642857142857,0.0625,0.2730330883359004,0.291894955142857,0.2978388542857143,0.4102661985714286,11.275862068965518,327.0,188.0,9.617647058823527,129.0,0.6515151515151515,9.0,1.5862068965517242,0.6896551724137931,0
2025-07-13 06:00:00+09:00,10,0.1,0.0909090909090909,0.2727272727272727,0.6363636363636364,-24.0,-0.1058823529411764,-0.0233766233766233,-0.7058823529411765,0.4650102376683869,0.2547151545454545,0.3157351309090908,0.42954971,17.75,142.0,59.0,14.2,-185.0,-0.5657492354740061,15.875,1.625,0.25,0
2025-07-13 07:00:00+09:00,20,0.05,0.0476190476190476,0.4285714285714285,0.5238095238095238,10.0,-0.05,-0.0432900432900432,1.0,0.4719213355232828,0.2806237828571428,0.3314137776190476,0.3879624409523809,20.0,320.0,91.0,16.0,178.0,1.2535211267605637,18.5625,0.875,0.5625,0
2025-07-13 08:00:00+09:00,32,0.09375,0.0294117647058823,0.1470588235294117,0.8235294117647058,12.0,0.04375,-0.0182072829131652,0.6,0.440678956651348,0.2624726567647059,0.3026608638235294,0.4348664785294117,11.961538461538462,311.0,38.0,9.71875,-9.0,-0.028125,10.846153846153848,0.4230769230769231,0.6923076923076923,0
2025-07-13 09:00:00+09:00,49,0.0612244897959183,0.1,0.18,0.72,17.0,-0.0325255102040817,0.0705882352941176,0.53125,0.5550276135513559,0.2744280914,0.3022082333999999,0.4233636716,19.58823529411765,666.0,88.0,13.591836734693878,355.0,1.1414790996784565,17.941176470588236,0.6470588235294118,1.0,0
2025-07-13 10:00:00+09:00,39,0.0512820512820512,0.0256410256410256,0.282051282051282,0.6923076923076923,-10.0,-0.0099424385138671,-0.0743589743589743,-0.2040816326530612,0.6021684870893996,0.2687345828205127,0.3171891982051282,0.4140762164102564,51.54545454545456,1701.0,494.0,43.61538461538461,1035.0,1.554054054054054,40.36363636363637,9.87878787878788,1.303030303030303,0
2025-07-13 11:00:00+09:00,47,0.0851063829787234,0.1458333333333333,0.1666666666666666,0.6875,8.0,0.0338243316966722,0.1201923076923077,0.2051282051282051,0.5568101797543932,0.2730690433333333,0.3045218085416666,0.4224091533333333,25.615384615384613,999.0,266.0,21.25531914893617,-702.0,-0.4126984126984127,22.025641025641026,3.1538461538461537,0.4358974358974359,0
2025-07-13 12:00:00+09:00,8,0.0,0.125,0.25,0.625,-39.0,-0.0851063829787234,-0.0208333333333333,-0.8297872340425532,0.6336626866032021,0.3166720925,0.30371160875,0.37961630125,17.857142857142854,125.0,66.0,15.625,-874.0,-0.8748748748748749,16.285714285714285,1.2857142857142858,0.2857142857142857,0
2025-07-13 13:00:00+09:00,80,0.0625,0.048780487804878,0.2439024390243902,0.7073170731707317,72.0,0.0625,-0.0762195121951219,9.0,0.5497418948933313,0.263422356707317,0.3098729867073171,0.4267046497560975,24.71232876712329,1804.0,273.0,22.55,1679.0,13.432,16.863013698630137,7.013698630136986,0.8356164383561644,0
2025-07-13 15:00:00+09:00,7,0.0,0.2857142857142857,0.2857142857142857,0.4285714285714285,-73.0,-0.0625,0.2369337979094076,-0.9125,0.6779559476001721,0.3078062942857143,0.3021104485714286,0.3900832571428571,218.33333333333331,655.0,629.0,93.57142857142856,-1149.0,-0.6369179600886918,6.333333333333333,209.66666666666663,2.333333333333333,0
