timestamp,volume,negative_rate,stance_against_rate,stance_favor_rate,stance_neutral_rate,delta_volume,delta_negative_rate,delta_against_rate,delta_volume_rate,sentiment_avg_score,stance_against_mean,stance_favor_mean,stance_neutral_mean,is_controversy
2024-08-01 04:00:00+09:00,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7712740562856198,0.39515263,0.21776885,0.38707846,0
2024-08-01 06:00:00+09:00,1,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.9335003087762744,0.20619738,0.28200457,0.5117981,0
2024-08-01 07:00:00+09:00,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9701372196432204,0.21524347,0.3662972,0.41845933,0
2024-08-01 10:00:00+09:00,2,0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.0092169004492461,0.308058945,0.26898241,0.42295867,0
2024-08-01 12:00:00+09:00,3,0.6666666666666666,0.0,0.25,0.75,1.0,0.1666666666666666,-0.5,0.5,0.0538216178538277,0.30407361,0.31358157,0.38234482,0
2024-08-01 13:00:00+09:00,1,0.0,0.0,0.0,1.0,-2.0,-0.6666666666666666,0.0,-0.6666666666666666,0.7145298393443227,0.2374331,0.3031839,0.45938298,0
2024-08-01 15:00:00+09:00,7,0.0,0.2857142857142857,0.0,0.7142857142857143,6.0,0.0,0.2857142857142857,6.0,0.2380895434346582,0.3668258014285714,0.2343057971428571,0.3988684014285714,0
2024-08-01 16:00:00+09:00,1,0.0,0.0,0.0,1.0,-6.0,0.0,-0.2857142857142857,-0.8571428571428571,0.9452137653715909,0.28847283,0.20515539,0.5063718,0
2024-08-01 19:00:00+09:00,3,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.5915390388496842,0.2641829666666667,0.2285047566666666,0.5073122633333332,0
2024-08-01 20:00:00+09:00,5,0.2,0.0,0.2,0.8,2.0,0.2,0.0,0.6666666666666666,0.2721036568051204,0.285016502,0.2739600759999999,0.441023428,0
2024-08-01 21:00:00+09:00,4,0.0,0.0,0.25,0.75,-1.0,-0.2,0.0,-0.2,0.6263820707390552,0.2883178475,0.2918986575,0.4197835125,0
2024-08-01 22:00:00+09:00,10,0.1,0.0,0.1,0.9,6.0,0.1,0.0,1.5,0.4960387897212058,0.281990316,0.272581504,0.445428177,0
2024-08-01 23:00:00+09:00,2,0.0,0.0,0.0,1.0,-8.0,-0.1,0.0,-0.8,0.6268438978586346,0.30876775,0.25770352,0.433528765,0
2024-08-02 00:00:00+09:00,1,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,-0.5,-0.8788454346358776,0.27561894,0.29704395,0.4273371,0
2024-08-02 01:00:00+09:00,2,0.0,0.0,0.5,0.5,1.0,-1.0,0.0,1.0,0.459467638283968,0.291096945,0.277943445,0.4309596,0
2024-08-02 02:00:00+09:00,2,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.4691171296872198,0.27178987,0.31393804,0.4142721,0
2024-08-02 04:00:00+09:00,1,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-0.5,0.9656209903769196,0.3000437,0.25377896,0.44617736,0
2024-08-02 05:00:00+09:00,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9529974632896482,0.16860926,0.23293969,0.598451,0
2024-08-02 07:00:00+09:00,2,0.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.5716665254440159,0.292722,0.281622155,0.425655855,0
2024-08-02 09:00:00+09:00,4,0.0,0.0,0.25,0.75,2.0,0.0,0.0,1.0,0.3701905842171982,0.2938773824999999,0.3090482599999999,0.3970743575,0
2024-08-02 10:00:00+09:00,2,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,-0.5,0.5132746698800473,0.322128385,0.23678937,0.441082225,0
2024-08-02 11:00:00+09:00,2,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,-0.017854712670669,0.28742869,0.3894191999999999,0.32315211,0
2024-08-02 12:00:00+09:00,4,0.0,0.0,0.0,1.0,2.0,-0.5,0.0,1.0,0.6559187827631832,0.2991217459999999,0.26245991,0.438418346,0
2024-08-02 13:00:00+09:00,2,0.5,0.5,0.0,0.5,-2.0,0.5,0.5,-0.5,0.1286338125355541,0.3443919,0.286225485,0.369382605,0
2024-08-02 14:00:00+09:00,3,0.0,0.0,0.0,1.0,1.0,-0.5,-0.5,0.5,0.494503938825801,0.30318265,0.28185896,0.4149583875,0
2024-08-02 15:00:00+09:00,1,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,-0.6666666666666666,0.3282884815707803,0.2935451999999999,0.29392868,0.412526115,0
2024-08-02 17:00:00+09:00,3,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,2.0,0.3333333333333333,0.3333333333333333,2.0,0.1196137132743994,0.3116199933333333,0.2868762,0.4015038366666667,0
2024-08-02 18:00:00+09:00,1,0.0,0.0,0.0,1.0,-2.0,-0.3333333333333333,-0.3333333333333333,-0.6666666666666666,0.9930547827389092,0.23790021,0.27932367,0.48277614,0
2024-08-02 19:00:00+09:00,3,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.6622933456674219,0.30657989,0.2644318366666666,0.4289882466666666,0
2024-08-02 20:00:00+09:00,5,0.2,0.0,0.0,1.0,2.0,0.2,0.0,0.6666666666666666,0.2432395915267989,0.267395424,0.26770705,0.4648974919999999,0
2024-08-02 21:00:00+09:00,5,0.0,0.0,0.0,1.0,0.0,-0.2,0.0,0.0,0.6121404647361487,0.2627157639999999,0.272556998,0.46472725,0
