timestamp,count,avg_score,negative_rate
2022-12-03 02:00:00+00:00,1,-4.0,1.0
2022-12-03 03:00:00+00:00,4,-10.5,1.0
2022-12-03 04:00:00+00:00,6,-15.0,1.0
2022-12-03 05:00:00+00:00,8,-11.5,1.0
2022-12-03 06:00:00+00:00,2,-10.0,1.0
2022-12-03 07:00:00+00:00,4,-7.5,1.0
2022-12-03 08:00:00+00:00,8,-11.875,1.0
2022-12-03 09:00:00+00:00,10,-12.8,1.0
2022-12-03 10:00:00+00:00,11,-10.0,1.0
2022-12-03 11:00:00+00:00,10,-12.3,1.0
2022-12-03 12:00:00+00:00,9,-11.555555555555555,1.0
2022-12-03 13:00:00+00:00,10,-13.3,1.0
2022-12-03 14:00:00+00:00,4,-9.5,1.0
