timestamp,count,positive_prob,neutral_prob,negative_prob,positive_count,neutral_count,negative_count,positive_rate,neutral_rate,negative_rate,avg_score
2025-07-13 00:00:00+09:00,57,0.5627635546794193,0.2867122184311561,0.15052423634471654,33,18,8,0.5789473684210527,0.3157894736842105,0.14035087719298245,0.41223931833470273
2025-07-13 01:00:00+09:00,48,0.593725679985558,0.28217286717457074,0.12410145155202672,30,13,5,0.625,0.2708333333333333,0.10416666666666667,0.4696242284335313
2025-07-13 02:00:00+09:00,61,0.5507050167261547,0.2873482023610076,0.1619467852469228,35,16,10,0.5737704918032787,0.26229508196721313,0.16393442622950818,0.3887582314792319
2025-07-13 03:00:00+09:00,24,0.6077875375437239,0.31740069674560795,0.07481175803695801,15,8,1,0.625,0.3333333333333333,0.041666666666666664,0.5329757795067659
2025-07-13 04:00:00+09:00,32,0.6174269118782831,0.25013366552593647,0.13243941932887532,21,7,4,0.65625,0.21875,0.125,0.4849874925494078
2025-07-13 05:00:00+09:00,34,0.4829753412532487,0.3070823921422873,0.20994225291734825,17,11,7,0.5,0.3235294117647059,0.20588235294117646,0.27303308833590045
2025-07-13 06:00:00+09:00,10,0.5719218732450496,0.3211664747108113,0.10691163557666265,7,3,1,0.7,0.3,0.1,0.46501023766838695
2025-07-13 07:00:00+09:00,20,0.5356562450816411,0.400608846252518,0.06373490955835825,10,10,1,0.5,0.5,0.05,0.47192133552328286
2025-07-13 08:00:00+09:00,32,0.5350199699819581,0.3706390178104972,0.0943410133306101,19,12,3,0.59375,0.375,0.09375,0.44067895665134804
2025-07-13 09:00:00+09:00,49,0.6296308809239417,0.29576584960334,0.07460326737258578,36,11,3,0.7346938775510204,0.22448979591836735,0.061224489795918366,0.5550276135513559
2025-07-13 10:00:00+09:00,39,0.67937496294363,0.24341856918703664,0.07720647585423038,27,10,2,0.6923076923076923,0.2564102564102564,0.05128205128205128,0.6021684870893996
2025-07-13 11:00:00+09:00,47,0.6328410775701437,0.2911280153978926,0.07603089781575055,32,12,4,0.6808510638297872,0.2553191489361702,0.0851063829787234,0.5568101797543932
