timestamp,count,avg_score,negative_rate
2022-12-03 23:00:00+00:00,1,-21.0,1.0
2022-12-04 00:00:00+00:00,0,,
2022-12-04 01:00:00+00:00,0,,
2022-12-04 02:00:00+00:00,1,-20.0,1.0
2022-12-04 03:00:00+00:00,4,-12.5,1.0
2022-12-04 04:00:00+00:00,3,-2.3333333333333335,1.0
2022-12-04 05:00:00+00:00,2,-18.0,1.0
2022-12-04 06:00:00+00:00,4,-6.25,1.0
2022-12-04 07:00:00+00:00,4,-9.75,1.0
2022-12-04 08:00:00+00:00,1,-11.0,1.0
2022-12-04 09:00:00+00:00,2,-14.0,1.0
2022-12-04 10:00:00+00:00,3,-8.333333333333334,0.6666666666666666
2022-12-04 11:00:00+00:00,3,-15.333333333333334,1.0
2022-12-04 12:00:00+00:00,3,-13.333333333333334,1.0
2022-12-04 13:00:00+00:00,5,-13.0,1.0
2022-12-04 14:00:00+00:00,5,-17.2,1.0
