timestamp,count,positive_prob,neutral_prob,negative_prob,positive_count,neutral_count,negative_count,positive_rate,neutral_rate,negative_rate,avg_score
2025-05-12 00:00:00+09:00,53,0.15533438859560156,0.3979968046330197,0.44666880201372616,7,21,25,0.1320754716981132,0.39622641509433965,0.4716981132075472,-0.2913344134181246
2025-05-12 01:00:00+09:00,52,0.14408540840556197,0.37891784791225713,0.4769967375502277,6,21,25,0.11538461538461539,0.40384615384615385,0.4807692307692308,-0.3329113291446657
2025-05-12 02:00:00+09:00,54,0.17093353495605423,0.29205194572676657,0.5370145189118813,7,20,27,0.12962962962962962,0.37037037037037035,0.5,-0.3660809839558271
2025-05-12 03:00:00+09:00,30,0.13011978149879722,0.2905829411931336,0.5792972789068396,3,10,17,0.1,0.3333333333333333,0.5666666666666667,-0.44917749740804236
2025-05-12 04:00:00+09:00,50,0.29360403312952255,0.28777748947031795,0.4186184853850864,14,15,21,0.28,0.3,0.42,-0.12501445225556385
2025-05-12 05:00:00+09:00,41,0.20751454759941454,0.2821432307124311,0.5103422192001152,9,8,26,0.21951219512195122,0.1951219512195122,0.6341463414634146,-0.3028276716007007
2025-05-12 06:00:00+09:00,43,0.23007813266608426,0.37047596659164783,0.399445902190691,9,17,17,0.20930232558139536,0.3953488372093023,0.3953488372093023,-0.16936776952460672
2025-05-12 07:00:00+09:00,80,0.15320634571253317,0.3688634771999204,0.47793017329240683,11,33,36,0.1375,0.4125,0.45,-0.32472382757987367
2025-05-12 08:00:00+09:00,52,0.11588341452163424,0.3770997001288029,0.5070168851928499,3,23,26,0.057692307692307696,0.4423076923076923,0.5,-0.3911334706712157
2025-05-12 09:00:00+09:00,53,0.18399599516535842,0.329181163295014,0.4868228422820498,10,14,29,0.18867924528301888,0.2641509433962264,0.5471698113207547,-0.3028268471166914
2025-05-12 10:00:00+09:00,49,0.20195169599337157,0.31057538963588216,0.48747291328024345,9,16,24,0.1836734693877551,0.32653061224489793,0.4897959183673469,-0.28552121728687185
2025-05-12 11:00:00+09:00,58,0.21078141675840514,0.37728370820846535,0.41193487206554236,13,21,24,0.22413793103448276,0.3620689655172414,0.41379310344827586,-0.2011534553071372
2025-05-12 12:00:00+09:00,28,0.07018176406355837,0.3821820003545976,0.5476362338356141,1,12,15,0.03571428571428571,0.42857142857142855,0.5357142857142857,-0.47745446977205575
2025-05-12 13:00:00+09:00,72,0.22311627191245653,0.3183360031366141,0.45854772771579316,15,21,36,0.20833333333333334,0.2916666666666667,0.5,-0.23543145580333663
2025-05-12 14:00:00+09:00,42,0.18968354605299062,0.41048666965659886,0.39982978760963306,7,19,16,0.16666666666666666,0.4523809523809524,0.38095238095238093,-0.21014624155664244
2025-05-12 15:00:00+09:00,74,0.21283318096539,0.38705087626805984,0.40011593124457956,14,30,30,0.1891891891891892,0.40540540540540543,0.40540540540540543,-0.18728275027918956
2025-05-12 16:00:00+09:00,19,0.12629596270179666,0.5013022781104634,0.3724017696528646,2,11,6,0.10526315789473684,0.5789473684210527,0.3157894736842105,-0.24610580695106793
2025-05-12 17:00:00+09:00,103,0.1980903122530435,0.32879228917254993,0.4731174004465664,19,34,51,0.18446601941747573,0.3300970873786408,0.49514563106796117,-0.27502708819352295
2025-05-12 18:00:00+09:00,1,0.0038732318207621,0.0843494534492492,0.9117772579193116,0,0,1,0.0,0.0,1.0,-0.9079040260985496
2025-05-12 19:00:00+09:00,112,0.1992217643064973,0.39898324171283645,0.401794990987274,23,47,45,0.20535714285714285,0.41964285714285715,0.4017857142857143,-0.2025732266807767
2025-05-12 21:00:00+09:00,115,0.16419986144035767,0.32120289727335133,0.5145972385238935,19,33,66,0.16521739130434782,0.28695652173913044,0.5739130434782609,-0.3503973770835358
2025-05-12 23:00:00+09:00,36,0.0857503864742619,0.4182966118188281,0.4959529901817931,2,17,19,0.05555555555555555,0.4722222222222222,0.5277777777777778,-0.4102026037075312
2025-05-13 00:00:00+09:00,35,0.23486602585601046,0.41344084651468116,0.35169312629538274,8,17,11,0.22857142857142856,0.4857142857142857,0.3142857142857143,-0.11682710043937228
2025-05-13 01:00:00+09:00,63,0.17009788999166628,0.35275319463107735,0.47714890395945986,10,22,32,0.15873015873015872,0.3492063492063492,0.5079365079365079,-0.30705101396779355
2025-05-13 02:00:00+09:00,60,0.11503566207635833,0.3552037684634949,0.5297605709328006,5,23,32,0.08333333333333333,0.38333333333333336,0.5333333333333333,-0.41472490885644225
2025-05-13 03:00:00+09:00,36,0.11560193172125659,0.3600325824744585,0.524365484688638,5,12,19,0.1388888888888889,0.3333333333333333,0.5277777777777778,-0.40876355296738137
2025-05-13 04:00:00+09:00,7,0.44637743490082876,0.2312513259904725,0.32237124695841757,4,0,3,0.5714285714285714,0.0,0.42857142857142855,0.1240061879424112
2025-05-13 05:00:00+09:00,12,0.16708909997788182,0.29394348237950063,0.5389674235350237,2,4,7,0.16666666666666666,0.3333333333333333,0.5833333333333334,-0.3718783235571419
2025-05-13 06:00:00+09:00,10,0.28789767553098494,0.4547558266669512,0.2573464752174913,3,4,3,0.3,0.4,0.3,0.03055120031349362
2025-05-13 07:00:00+09:00,59,0.16483425018101358,0.3502371909128407,0.48492854180493217,7,19,33,0.11864406779661017,0.3220338983050847,0.559322033898305,-0.32009429162391856
2025-05-13 08:00:00+09:00,26,0.2347072949677777,0.3494537263893737,0.4158389681341269,6,10,10,0.23076923076923078,0.38461538461538464,0.38461538461538464,-0.1811316731663492
