timestamp,count,positive_prob,neutral_prob,negative_prob,positive_count,neutral_count,negative_count,positive_rate,neutral_rate,negative_rate,avg_score
2023-03-19 01:00:00+09:00,93,0.4615881132823415,0.42027777537703515,0.11813411093724423,50,40,10,0.5376344086021505,0.43010752688172044,0.10752688172043011,0.34345400234509726
2023-03-19 02:00:00+09:00,23,0.42112133075715974,0.4370833119222273,0.14179533407150297,11,10,3,0.4782608695652174,0.43478260869565216,0.13043478260869565,0.2793259966856568
2023-03-19 03:00:00+09:00,56,0.43098728311347906,0.4637207484837355,0.1052919684693084,25,27,4,0.44642857142857145,0.48214285714285715,0.07142857142857142,0.3256953146441707
2023-03-19 04:00:00+09:00,3,0.462029566677908,0.2074729315936565,0.330497488961555,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.131532077716353
2023-03-19 05:00:00+09:00,70,0.425327202059432,0.4693158881919872,0.10535690306601783,33,33,6,0.4714285714285714,0.4714285714285714,0.08571428571428572,0.3199702989934141
2023-03-19 07:00:00+09:00,84,0.38226818601900564,0.4851782329798002,0.13255357401226053,30,47,10,0.35714285714285715,0.5595238095238095,0.11904761904761904,0.2497146120067451
2023-03-19 09:00:00+09:00,93,0.5379625051257577,0.36334460494207577,0.09869288058736,53,34,7,0.5698924731182796,0.3655913978494624,0.07526881720430108,0.4392696245383977
2023-03-19 13:00:00+09:00,96,0.43382270905968484,0.4673333174967188,0.09884397204364266,41,51,6,0.4270833333333333,0.53125,0.0625,0.3349787370160422
2023-03-19 15:00:00+09:00,77,0.5308995468651209,0.3801563819352951,0.08894407407691077,44,32,5,0.5714285714285714,0.4155844155844156,0.06493506493506493,0.4419554727882101
2023-03-19 17:00:00+09:00,89,0.4302081635247709,0.4148651165784233,0.15492671033781433,39,41,10,0.43820224719101125,0.4606741573033708,0.11235955056179775,0.2752814531869566
2023-03-19 19:00:00+09:00,81,0.48951045050095005,0.41441830202757596,0.0960712445933506,38,39,6,0.4691358024691358,0.48148148148148145,0.07407407407407407,0.39343920590759945
2023-03-19 21:00:00+09:00,100,0.46529052780000585,0.428089960367594,0.10661951506667129,51,42,8,0.51,0.42,0.08,0.35867101273333457
2023-03-19 23:00:00+09:00,17,0.6118029394225838,0.3204947257569681,0.06770232896734436,13,4,1,0.7647058823529411,0.23529411764705882,0.058823529411764705,0.5441006104552394
2023-03-20 00:00:00+09:00,1,0.0948479101061821,0.7654780149459839,0.139674112200737,0,1,0,0.0,1.0,0.0,-0.0448262020945549
2023-03-20 01:00:00+09:00,89,0.4834806473356568,0.4388423867032139,0.07767696450205722,43,44,3,0.48314606741573035,0.4943820224719101,0.033707865168539325,0.4058036828335996
2023-03-20 02:00:00+09:00,5,0.4517227679491043,0.5089995384216308,0.039277703315019556,2,3,0,0.4,0.6,0.0,0.41244506463408476
2023-03-20 03:00:00+09:00,102,0.49530393407621887,0.42274111931104785,0.0819549384479894,53,46,5,0.5196078431372549,0.45098039215686275,0.049019607843137254,0.41334899562822947
2023-03-20 04:00:00+09:00,2,0.47989726066589355,0.4963408410549164,0.0237619105027988,1,1,0,0.5,0.5,0.0,0.45613535016309475
2023-03-20 05:00:00+09:00,80,0.5235079800698995,0.42507161784340586,0.05142040548560626,44,38,2,0.55,0.475,0.025,0.47208757458429323
2023-03-20 07:00:00+09:00,83,0.5554509541484056,0.36106734690312514,0.08348169333178052,49,28,6,0.5903614457831325,0.3373493975903614,0.07228915662650602,0.4719692608166251
2023-03-20 09:00:00+09:00,100,0.48547933271349164,0.37930188291859857,0.13521879091655417,51,40,12,0.51,0.4,0.12,0.35026054179693744
2023-03-20 11:00:00+09:00,99,0.4666496482835992,0.4401571888711701,0.09319315136645384,47,50,6,0.47474747474747475,0.5050505050505051,0.06060606060606061,0.3734564969171454
2023-03-20 13:00:00+09:00,77,0.5035144921651558,0.3907612559350231,0.10572424853556561,43,29,7,0.5584415584415584,0.37662337662337664,0.09090909090909091,0.39779024362959015
2023-03-20 17:00:00+09:00,76,0.558594789003837,0.33406127849593753,0.1073439311192487,44,29,7,0.5789473684210527,0.3815789473684211,0.09210526315789473,0.4512508578845883
2023-03-20 19:00:00+09:00,86,0.5112750950608064,0.3619782644726166,0.126746639110603,46,33,9,0.5348837209302325,0.38372093023255816,0.10465116279069768,0.38452845595020335
2023-03-20 21:00:00+09:00,102,0.4651924806649263,0.3629435461683615,0.17186397894000793,48,39,16,0.47058823529411764,0.38235294117647056,0.1568627450980392,0.29332850172491837
2023-03-20 23:00:00+09:00,96,0.5149557371338715,0.36524390908699406,0.11980035957020267,54,32,12,0.5625,0.3333333333333333,0.125,0.39515537756366886
2023-03-21 01:00:00+09:00,67,0.4861761809890226,0.4009709281887373,0.1128528864693193,36,27,6,0.5373134328358209,0.40298507462686567,0.08955223880597014,0.3733232945197033
2023-03-21 05:00:00+09:00,74,0.7654434427141065,0.1890549822710454,0.04550158176846847,64,9,3,0.8648648648648649,0.12162162162162163,0.04054054054054054,0.7199418609456381
2023-03-21 07:00:00+09:00,109,0.5800928311281106,0.32287207687789177,0.09703509690111133,68,34,10,0.6238532110091743,0.3119266055045872,0.09174311926605505,0.48305773422699927
2023-03-21 09:00:00+09:00,115,0.4543777119607064,0.3641204227401354,0.18150186465986037,55,42,21,0.4782608695652174,0.3652173913043478,0.1826086956521739,0.272875847300846
2023-03-21 11:00:00+09:00,110,0.7210608806541995,0.20602025314218408,0.07291886036163901,90,21,7,0.8181818181818182,0.19090909090909092,0.06363636363636363,0.6481420202925605
