timestamp,volume,negative_rate,stance_against_rate,stance_favor_rate,stance_neutral_rate,delta_volume,delta_negative_rate,delta_against_rate,delta_volume_rate,sentiment_avg_score,stance_against_mean,stance_favor_mean,stance_neutral_mean,is_controversy
2025-08-03 00:00:00+09:00,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3964547421783209,0.295093535,0.210293085,0.49461339,0
2025-08-03 01:00:00+09:00,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.2239421761284272,0.3924827466666666,0.3014046266666666,0.30611265,0
2025-08-03 03:00:00+09:00,3,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,-0.6666666666666667,0.0,0.1313851649562518,0.3257326766666666,0.2645234233333333,0.4097439066666666,0
2025-08-03 04:00:00+09:00,1,1.0,1.0,0.0,0.0,-2.0,1.0,0.6666666666666667,-0.6666666666666666,-0.991468711057678,0.3812069,0.30077925,0.31801385,0
2025-08-03 06:00:00+09:00,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6939392546191813,0.39569458,0.3105987,0.2937067,0
2025-08-03 07:00:00+09:00,4,0.0,0.0,0.0,1.0,3.0,-1.0,-1.0,3.0,0.4018416677135975,0.2524558475,0.2161518825,0.5313922925,0
2025-08-03 08:00:00+09:00,4,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.1916797258891164,0.2942439324999999,0.2986198025,0.4071362775,0
2025-08-03 09:00:00+09:00,6,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,0.0,0.3333333333333333,0.5,0.3865082015593847,0.3696799333333334,0.26343243,0.366887615,0
2025-08-03 10:00:00+09:00,4,0.0,0.5,0.0,0.5,-2.0,0.0,0.1666666666666666,-0.3333333333333333,0.2469122792826966,0.3491375075,0.25994718,0.3909153075,1
2025-08-03 11:00:00+09:00,4,0.5,0.25,0.0,0.75,0.0,0.5,-0.25,0.0,-0.0533634688472375,0.3372553325,0.2763244975,0.3864201775,1
2025-08-03 12:00:00+09:00,3,0.0,1.0,0.0,0.0,-1.0,-0.5,0.75,-0.25,0.5111522707156837,0.4033829466666667,0.2999386133333333,0.2966784566666667,1
2025-08-03 13:00:00+09:00,6,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,3.0,0.3333333333333333,-0.6666666666666667,1.0,-0.3446931207242111,0.3567731683333333,0.2597793233333333,0.3834475133333332,1
2025-08-03 14:00:00+09:00,57,0.1228070175438596,0.5333333333333333,0.0833333333333333,0.3833333333333333,51.0,-0.2105263157894737,0.2,8.5,0.1850227328871066,0.3520409103333333,0.2908897485,0.3570693403333332,1
2025-08-03 15:00:00+09:00,38,0.1842105263157894,0.3076923076923077,0.0512820512820512,0.6410256410256411,-19.0,0.0614035087719298,-0.2256410256410256,-0.3333333333333333,0.1903458189261026,0.3250163284615385,0.2595482733333333,0.4154354025641025,1
2025-08-03 16:00:00+09:00,41,0.1463414634146341,0.3658536585365853,0.0975609756097561,0.5365853658536586,3.0,-0.0378690629011553,0.0581613508442776,0.0789473684210526,0.1155814981973934,0.3480810356097561,0.2683197902439024,0.3835991782926829,1
2025-08-03 17:00:00+09:00,33,0.1515151515151515,0.3333333333333333,0.0909090909090909,0.5757575757575758,-8.0,0.0051736881005173,-0.032520325203252,-0.1951219512195122,0.0384963172290361,0.3272387769696969,0.2614080193939394,0.411353206060606,1
2025-08-03 18:00:00+09:00,15,0.1333333333333333,0.0666666666666666,0.1333333333333333,0.8,-18.0,-0.0181818181818181,-0.2666666666666666,-0.5454545454545454,0.1237467437827339,0.3315515513333334,0.2560172726666667,0.4124311906666666,1
2025-08-03 19:00:00+09:00,36,0.25,0.4594594594594595,0.054054054054054,0.4864864864864865,21.0,0.1166666666666667,0.3927927927927928,1.4,0.0693770308720854,0.3482166689189189,0.2625184356756757,0.389264894054054,1
2025-08-03 20:00:00+09:00,29,0.2413793103448276,0.2413793103448276,0.0,0.7586206896551724,-7.0,-0.0086206896551724,-0.2180801491146319,-0.1944444444444444,-0.0028948161172969,0.3538691527586207,0.2458971089655172,0.4002337389655172,1
2025-08-03 21:00:00+09:00,56,0.3928571428571428,0.4107142857142857,0.0357142857142857,0.5535714285714286,27.0,0.1514778325123152,0.1693349753694581,0.9310344827586208,-0.2247450551408942,0.3538267339285714,0.2366816110714285,0.4094916557142857,1
2025-08-03 22:00:00+09:00,66,0.2575757575757575,0.4696969696969697,0.0454545454545454,0.4848484848484848,10.0,-0.1352813852813852,0.058982683982684,0.1785714285714285,-0.048035327168746,0.3550626039393939,0.255633721060606,0.3893036787878788,1
2025-08-03 23:00:00+09:00,35,0.3428571428571428,0.3428571428571428,0.0285714285714285,0.6285714285714286,-31.0,0.0852813852813852,-0.1268398268398268,-0.4696969696969697,-0.0681094124647123,0.3496854774285713,0.2481138134285714,0.4022007057142857,1
2025-08-04 00:00:00+09:00,46,0.391304347826087,0.5,0.0217391304347826,0.4782608695652174,11.0,0.0484472049689441,0.1571428571428571,0.3142857142857143,-0.2552254560438957,0.3730304539130434,0.2520197141304348,0.3749498345652174,1
2025-08-04 01:00:00+09:00,35,0.4,0.6,0.0285714285714285,0.3714285714285714,-11.0,0.008695652173913,0.0999999999999999,-0.2391304347826087,-0.3386255763737218,0.3863213594285715,0.2548942628571428,0.3587843777142857,1
2025-08-04 02:00:00+09:00,16,0.3125,0.375,0.0,0.625,-19.0,-0.0875,-0.2249999999999999,-0.5428571428571428,-0.1674469383506221,0.3553161,0.239900875625,0.404783030625,1
