method,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,n_features,n_samples,method_key,features_used
Stance あり,0.9426413155190133,0.014219994194102522,0.8749869917700928,0.0321357959773447,0.9678533534330848,0.01640446199755166,15,697,with_stance,"['volume', 'delta_volume', 'negative_rate', 'delta_negative_rate', 'stance_favor_rate', 'stance_against_rate', 'stance_neutral_rate', 'flame_score', 'against_count', 'negative_rate_log', 'volume_log', 'sentiment_polarity', 'is_high_volume', 'is_high_negative', 'is_both_high']"
Stance なし,0.9412435765673175,0.02268565472858983,0.8718448346459834,0.05196609829446096,0.9685881891343339,0.016647970155148385,10,697,without_stance,"['volume', 'delta_volume', 'negative_rate', 'delta_negative_rate', 'flame_score', 'negative_rate_log', 'volume_log', 'is_high_volume', 'is_high_negative', 'is_both_high']"
