method,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,n_features,n_samples,method_key,features_used
Stance あり,0.903030303030303,0.031198879215112118,0.9116334525177509,0.029613121381250777,0.9726001863932898,0.01492718183639091,15,330,with_stance,"['volume', 'delta_volume', 'negative_rate', 'delta_negative_rate', 'stance_favor_rate', 'stance_against_rate', 'stance_neutral_rate', 'flame_score', 'against_count', 'negative_rate_log', 'volume_log', 'sentiment_polarity', 'is_high_volume', 'is_high_negative', 'is_both_high']"
Stance なし,0.906060606060606,0.0260676523243716,0.9147536960489532,0.024507072832270264,0.9712954333643988,0.015618712249844374,10,330,without_stance,"['volume', 'delta_volume', 'negative_rate', 'delta_negative_rate', 'flame_score', 'negative_rate_log', 'volume_log', 'is_high_volume', 'is_high_negative', 'is_both_high']"
