method,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,n_features,n_samples,method_key,features_used
Stance あり,0.8909090909090909,0.030903148567228974,0.900640166735428,0.027583554676255003,0.9708294501397949,0.020578528291198495,15,330,with_stance,"['volume', 'delta_volume', 'negative_rate', 'delta_negative_rate', 'stance_favor_rate', 'stance_against_rate', 'stance_neutral_rate', 'flame_score', 'against_count', 'negative_rate_log', 'volume_log', 'sentiment_polarity', 'is_high_volume', 'is_high_negative', 'is_both_high']"
Stance なし,0.8969696969696969,0.03374402644139404,0.9063693242894477,0.02967322001314622,0.9692451071761417,0.02085398581202739,10,330,without_stance,"['volume', 'delta_volume', 'negative_rate', 'delta_negative_rate', 'flame_score', 'negative_rate_log', 'volume_log', 'is_high_volume', 'is_high_negative', 'is_both_high']"
